DATE,LNS11300031
1988-07-01,73.9
1988-08-01,74.7
1988-09-01,74.1
1988-10-01,74.5
1988-11-01,74.2
1988-12-01,74.5
1989-01-01,75
1989-02-01,74.7
1989-03-01,74.7
1989-04-01,74
1989-05-01,74.4
1989-06-01,74.1
1989-07-01,74.1
1989-08-01,74.1
1989-09-01,74.5
1989-10-01,74.1
1989-11-01,74
1989-12-01,73.9
1990-01-01,74.9
1990-02-01,75
1990-03-01,74.8
1990-04-01,74.8
1990-05-01,74.9
1990-06-01,74.8
1990-07-01,75.1
1990-08-01,75
1990-09-01,75.1
1990-10-01,75.1
1990-11-01,75.3
1990-12-01,75.1
1991-01-01,74.8
1991-02-01,75.3
1991-03-01,75.6
1991-04-01,75.4
1991-05-01,73.9
1991-06-01,74.5
1991-07-01,74.6
1991-08-01,73.9
1991-09-01,74.6
1991-10-01,74.1
1991-11-01,73.7
1991-12-01,74.3
1992-01-01,74.4
1992-02-01,74.2
1992-03-01,74.5
1992-04-01,74.2
1992-05-01,74.7
1992-06-01,74.8
1992-07-01,74.6
1992-08-01,74.8
1992-09-01,74.3
1992-10-01,74.1
1992-11-01,73.9
1992-12-01,73.1
1993-01-01,73.6
1993-02-01,74.1
1993-03-01,73.5
1993-04-01,72.6
1993-05-01,73.3
1993-06-01,73.3
1993-07-01,73.5
1993-08-01,73.8
1993-09-01,73.2
1993-10-01,72.5
1993-11-01,73.1
1993-12-01,71.8
1994-01-01,72.1
1994-02-01,73
1994-03-01,72.3
1994-04-01,72.6
1994-05-01,73.3
1994-06-01,72.1
1994-07-01,71.9
1994-08-01,71.6
1994-09-01,71.9
1994-10-01,72.7
1994-11-01,72.6
1994-12-01,72.8
1995-01-01,73.3
1995-02-01,73.6
1995-03-01,73.6
1995-04-01,73.6
1995-05-01,73
1995-06-01,72.6
1995-07-01,71.7
1995-08-01,71.9
1995-09-01,72.1
1995-10-01,71.7
1995-11-01,71.6
1995-12-01,71.6
1996-01-01,72.1
1996-02-01,72.2
1996-03-01,72.3
1996-04-01,71.7
1996-05-01,72.3
1996-06-01,71.9
1996-07-01,72.5
1996-08-01,73.2
1996-09-01,72.5
1996-10-01,72.3
1996-11-01,72.7
1996-12-01,71.8
1997-01-01,71.7
1997-02-01,71.3
1997-03-01,71.7
1997-04-01,71.5
1997-05-01,71.6
1997-06-01,72.6
1997-07-01,72.4
1997-08-01,73.8
1997-09-01,73
1997-10-01,72.3
1997-11-01,72
1997-12-01,72
1998-01-01,72.2
1998-02-01,71.8
1998-03-01,72.8
1998-04-01,73
1998-05-01,72.1
1998-06-01,73.1
1998-07-01,73.1
1998-08-01,72.5
1998-09-01,72.1
1998-10-01,73.2
1998-11-01,72.3
1998-12-01,71.9
1999-01-01,72.8
1999-02-01,72
1999-03-01,71.6
1999-04-01,71.9
1999-05-01,72.8
1999-06-01,72.4
1999-07-01,71.9
1999-08-01,72.2
1999-09-01,72.7
1999-10-01,73
1999-11-01,72.7
1999-12-01,72.4
2000-01-01,70.4
2000-02-01,70
2000-03-01,69.2
2000-04-01,73.2
2000-05-01,72.5
2000-06-01,72.3
2000-07-01,72.3
2000-08-01,72.4
2000-09-01,72
2000-10-01,72.6
2000-11-01,72.6
2000-12-01,72.6
2001-01-01,72.7
2001-02-01,72.4
2001-03-01,72.4
2001-04-01,72.3
2001-05-01,71.8
2001-06-01,71.5
2001-07-01,72.1
2001-08-01,72.3
2001-09-01,72.4
2001-10-01,71.1
2001-11-01,71.2
2001-12-01,72.5
2002-01-01,72.6
2002-02-01,72.3
2002-03-01,73
2002-04-01,72.8
2002-05-01,73
2002-06-01,72
2002-07-01,71.6
2002-08-01,71.7
2002-09-01,72.4
2002-10-01,72
2002-11-01,70.2
2002-12-01,70.9
2003-01-01,71.3
2003-02-01,72
2003-03-01,70.9
2003-04-01,71.7
2003-05-01,71.8
2003-06-01,72
2003-07-01,71.4
2003-08-01,71.2
2003-09-01,71.7
2003-10-01,71
2003-11-01,71.4
2003-12-01,71.4
2004-01-01,72.1
2004-02-01,70.8
2004-03-01,71.2
2004-04-01,70.2
2004-05-01,70.4
2004-06-01,70.6
2004-07-01,70.3
2004-08-01,70.6
2004-09-01,70.9
2004-10-01,71
2004-11-01,71.2
2004-12-01,71
2005-01-01,70.1
2005-02-01,70.5
2005-03-01,70.4
2005-04-01,71.1
2005-05-01,71.7
2005-06-01,72.3
2005-07-01,72.5
2005-08-01,72.2
2005-09-01,71.8
2005-10-01,71.6
2005-11-01,70.7
2005-12-01,70.3
2006-01-01,69.9
2006-02-01,71.3
2006-03-01,71.6
2006-04-01,71.6
2006-05-01,71.7
2006-06-01,70.4
2006-07-01,70.9
2006-08-01,70.7
2006-09-01,70.9
2006-10-01,71
2006-11-01,71.2
2006-12-01,71.6
2007-01-01,72
2007-02-01,71.4
2007-03-01,71.2
2007-04-01,71.2
2007-05-01,70.7
2007-06-01,70.4
2007-07-01,71.9
2007-08-01,71.7
2007-09-01,71.2
2007-10-01,70.6
2007-11-01,70.9
2007-12-01,70.6
2008-01-01,71.2
2008-02-01,71.4
2008-03-01,71.3
2008-04-01,71.2
2008-05-01,70.9
2008-06-01,71.5
2008-07-01,71.3
2008-08-01,71.9
2008-09-01,71.5
2008-10-01,70.9
2008-11-01,70.4
2008-12-01,70.8
2009-01-01,70.5
2009-02-01,70.3
2009-03-01,69.8
2009-04-01,70.3
2009-05-01,70.3
2009-06-01,69.5
2009-07-01,69.6
2009-08-01,69.4
2009-09-01,68.6
2009-10-01,69.1
2009-11-01,69
2009-12-01,68.7
2010-01-01,69.3
2010-02-01,69.4
2010-03-01,70.4
2010-04-01,70.1
2010-05-01,70.4
2010-06-01,69.2
2010-07-01,69.1
2010-08-01,69.4
2010-09-01,69.2
2010-10-01,69
2010-11-01,69.2
2010-12-01,68.8
2011-01-01,68.3
2011-02-01,68.3
2011-03-01,68.4
2011-04-01,68.7
2011-05-01,67.7
2011-06-01,68.1
2011-07-01,67.9
2011-08-01,68.7
2011-09-01,68.5
2011-10-01,68.4
2011-11-01,68.6
2011-12-01,68.9
2012-01-01,68.3
2012-02-01,68.1
2012-03-01,68.1
2012-04-01,67.4
2012-05-01,68
2012-06-01,68.2
2012-07-01,67.9
2012-08-01,67.3
2012-09-01,66.9
2012-10-01,67.7
2012-11-01,67.4
2012-12-01,67.6
2013-01-01,68
2013-02-01,68.2
2013-03-01,67.9
2013-04-01,67.6
2013-05-01,67.7
2013-06-01,66.8
2013-07-01,67.4
2013-08-01,66.7
2013-09-01,67.7
2013-10-01,66.6
2013-11-01,66.7
2013-12-01,65.8
2014-01-01,66.5
2014-02-01,66.8
2014-03-01,67.1
2014-04-01,66.6
2014-05-01,66.8
2014-06-01,67.3
2014-07-01,68.1
2014-08-01,67.5
2014-09-01,68.4
2014-10-01,67.5
2014-11-01,67.1
2014-12-01,67.9
2015-01-01,67.1
2015-02-01,67.1
2015-03-01,67.2
2015-04-01,68.7
2015-05-01,68.6
